data	close
12-06-2013	5.0
12-06-2013	5.0
12-05-2013	4.91
12-04-2013	4.75
12-03-2013	4.89
12-02-2013	4.99
12-01-2013	5.0
12-01-2013	4.61
11-29-2013	4.0
11-28-2013	4.88
11-28-2013	4.89
11-26-2013	5.0
11-25-2013	4.84
11-25-2013	4.89
11-24-2013	4.25
11-23-2013	4.81
11-21-2013	4.98
11-20-2013	4.48
11-20-2013	4.74
11-19-2013	4.91
11-19-2013	4.63
11-18-2013	3.26
11-17-2013	4.54
11-16-2013	5.0
11-16-2013	4.76
11-15-2013	3.35
11-15-2013	4.96
11-15-2013	4.93
11-15-2013	1.7
11-14-2013	4.84
11-14-2013	5.0
11-14-2013	4.93
11-10-2013	4.91
11-10-2013	4.88
11-09-2013	4.69
11-09-2013	4.64
11-08-2013	4.89
11-08-2013	5.0
11-08-2013	4.86
11-07-2013	4.95
11-07-2013	5.0
11-01-2013	4.91
11-04-2013	4.83
11-03-2013	4.91
10-30-2013	4.99
10-30-2013	4.98
10-29-2013	5.0
10-29-2013	4.81
10-29-2013	4.51
10-28-2013	4.74
10-28-2013	5.0
10-26-2013	4.51
10-25-2013	4.94
10-24-2013	4.61
10-22-2013	4.65
10-21-2013	5.0
10-20-2013	3.85
10-18-2013	4.83
10-18-2013	5.0
10-18-2013	5.0
10-18-2013	3.45
10-16-2013	4.85
10-16-2013	4.75
10-16-2013	4.5
10-14-2013	4.54
10-13-2013	5.0
10-13-2013	4.84
10-13-2013	4.85
10-12-2013	4.38
10-12-2013	4.71
10-10-2013	4.48
10-10-2013	4.54
10-10-2013	4.7
10-08-2013	4.73
10-06-2013	4.76
10-06-2013	4.31
10-06-2013	5.0
10-05-2013	4.3
10-05-2013	4.26
10-04-2013	4.91
10-03-2013	4.94
10-03-2013	4.83
10-03-2013	5.0
09-30-2013	5.0
09-29-2013	4.48
09-29-2013	5.0
09-29-2013	4.38
09-28-2013	5.0
09-28-2013	4.83
09-25-2013	4.98
09-25-2013	4.93
09-25-2013	4.83
09-25-2013	4.98
09-23-2013	4.88
09-23-2013	4.53
09-21-2013	4.76
09-21-2013	4.45
09-20-2013	4.71
09-19-2013	4.73
09-17-2013	4.64
09-17-2013	4.93
09-16-2013	4.81
09-16-2013	4.68
09-14-2013	4.66
09-13-2013	4.46
09-12-2013	4.99
09-11-2013	4.78
09-09-2013	4.9
09-09-2013	5.0
09-09-2013	4.53
09-08-2013	4.69
09-07-2013	4.0
09-06-2013	5.0
09-06-2013	4.8
09-05-2013	4.35
09-04-2013	4.86
09-01-2013	4.68
09-01-2013	4.21
09-01-2013	4.65
08-31-2013	4.93
08-30-2013	4.89
08-30-2013	5.0
08-30-2013	3.9
08-30-2013	4.55
08-28-2013	5.0
08-28-2013	5.0
08-28-2013	4.94
08-25-2013	4.44
08-25-2013	4.11
08-25-2013	4.94
08-25-2013	5.0
08-24-2013	4.74
08-23-2013	4.8
08-22-2013	4.48
08-20-2013	5.0
08-20-2013	4.46
08-19-2013	4.74
08-18-2013	4.9
08-18-2013	4.99
08-17-2013	4.74
08-15-2013	4.93
08-15-2013	4.86
08-15-2013	4.96
08-15-2013	5.0
08-14-2013	4.88
08-12-2013	4.6
08-12-2013	5.0
08-11-2013	4.83
08-10-2013	4.95
08-09-2013	5.0
08-07-2013	4.23
08-07-2013	5.0
08-06-2013	4.78
08-03-2013	4.26
08-03-2013	4.68
08-02-2013	4.76
08-02-2013	4.75
08-01-2013	4.53
08-01-2013	5.0
08-01-2013	4.85
08-01-2013	4.95
08-01-2013	4.0
07-30-2013	4.64
07-29-2013	4.43
07-28-2013	4.73
07-28-2013	4.73
07-28-2013	4.95
07-25-2013	4.13
07-24-2013	4.45
07-24-2013	4.35
07-24-2013	4.75
07-24-2013	4.84
07-22-2013	5.0
07-22-2013	4.64
07-21-2013	4.89
07-21-2013	4.81
07-21-2013	3.53
07-20-2013	3.99
07-20-2013	4.89
07-17-2013	4.78
07-17-2013	3.93
07-17-2013	4.93
07-16-2013	5.0
07-16-2013	4.79
07-15-2013	4.53
07-15-2013	4.91
07-14-2013	5.0
07-11-2013	5.0
07-11-2013	4.41
07-10-2013	3.85
07-09-2013	5.0
07-05-2013	4.8
07-04-2013	4.5
07-04-2013	3.48
07-03-2013	4.56
07-02-2013	4.98
07-02-2013	4.28
07-02-2013	4.75
07-02-2013	4.96
07-01-2013	4.06
07-01-2013	4.98
07-01-2013	4.78
06-30-2013	4.96
06-30-2013	4.41
06-30-2013	4.59
06-29-2013	5.0
06-29-2013	4.24
06-28-2013	4.31
06-27-2013	4.24
06-27-2013	4.69
06-27-2013	4.75
06-27-2013	4.7
06-26-2013	4.63
06-25-2013	4.16
06-24-2013	4.64
06-24-2013	4.51
06-24-2013	4.86
06-23-2013	4.94
06-22-2013	4.81
06-22-2013	4.78
06-22-2013	4.5
06-21-2013	3.33
06-20-2013	4.78
06-20-2013	4.65
06-19-2013	5.0
06-19-2013	4.63
06-18-2013	4.45
06-18-2013	4.88
06-17-2013	4.74
06-16-2013	4.98
06-16-2013	3.9
06-15-2013	4.88
06-13-2013	5.0
06-13-2013	4.89
06-13-2013	4.75
06-12-2013	4.79
06-12-2013	4.66
06-11-2013	4.94
06-10-2013	4.09
06-10-2013	3.98
06-09-2013	4.63
06-06-2013	4.88
06-06-2013	3.88
06-06-2013	4.78
06-06-2013	4.64
06-06-2013	4.8
06-05-2013	5.0
06-03-2013	4.76
06-03-2013	4.96
06-01-2013	4.73
05-31-2013	4.5
05-31-2013	3.94
05-31-2013	4.98
05-30-2013	4.45
05-30-2013	4.85
05-30-2013	5.0
05-29-2013	4.91
05-27-2013	5.0
05-27-2013	4.99
05-27-2013	5.0
05-27-2013	4.96
05-26-2013	4.49
05-25-2013	4.55
05-25-2013	4.98
05-25-2013	4.53
05-25-2013	4.91
05-24-2013	4.95
05-24-2013	4.43
05-22-2013	4.78
05-21-2013	4.99
05-21-2013	4.99
05-20-2013	4.9
05-20-2013	4.66
05-19-2013	4.58
05-19-2013	4.73
05-18-2013	4.46
05-18-2013	4.84
05-17-2013	4.91
05-16-2013	4.53
05-15-2013	4.7
05-14-2013	4.7
05-14-2013	4.58
05-12-2013	5.0
05-11-2013	4.85
05-11-2013	4.61
05-11-2013	4.39
05-10-2013	4.65
05-09-2013	4.99
05-09-2013	4.75
05-09-2013	4.23
05-08-2013	4.2
05-08-2013	4.5
05-08-2013	4.78
05-07-2013	4.93
05-07-2013	5.0
05-06-2013	4.75
05-06-2013	4.73
05-06-2013	4.66
05-06-2013	5.0
05-06-2013	4.68
05-05-2013	4.9
05-04-2013	4.64
05-04-2013	4.76
05-03-2013	4.88
05-01-2013	5.0
05-01-2013	4.7
05-01-2013	4.78
05-01-2013	4.31
04-29-2013	4.51
04-28-2013	4.73
04-28-2013	5.0
04-28-2013	4.69
04-28-2013	4.73
04-27-2013	4.28
04-27-2013	4.9
04-25-2013	4.93
04-24-2013	3.35
04-24-2013	4.93
04-23-2013	4.99
04-23-2013	4.9
04-23-2013	5.0
04-23-2013	4.79
04-20-2013	4.98
04-20-2013	5.0
04-20-2013	4.03
04-20-2013	4.79
04-20-2013	4.5
04-19-2013	5.0
04-19-2013	5.0
04-19-2013	4.91
04-19-2013	4.9
04-17-2013	4.64
04-15-2013	3.86
04-14-2013	4.81
04-14-2013	4.96
04-13-2013	4.69
04-13-2013	4.96
04-09-2013	4.7
04-09-2013	4.93
04-07-2013	4.44
04-07-2013	4.75
04-07-2013	4.83
04-06-2013	4.78
04-05-2013	4.84
04-05-2013	4.95
04-04-2013	4.69
04-02-2013	4.89
04-02-2013	4.64
04-01-2013	4.38
03-31-2013	4.81
03-30-2013	5.0
03-30-2013	4.48
03-30-2013	4.91
03-30-2013	4.75
03-29-2013	4.98
03-29-2013	5.0
03-29-2013	4.98
03-29-2013	4.93
03-28-2013	4.88
03-28-2013	4.85
03-27-2013	4.0
03-27-2013	4.9
03-25-2013	4.94
03-24-2013	4.8
03-23-2013	4.99
